,id,name,passwd
0,1,Procter & Gamble,81a2a677
1,2,Alphabet,ac02de70
2,3,Comcast,c5b04c73
3,4,Target,3384afde
4,5,MetLife,d82ad005
5,6,Archer Daniels Midland,ebfb53d5
6,7,Freddie Mac,d9923244
7,8,PepsiCo,fba0f6e7
8,9,United Technologies,c4d2575a
9,10,Lowe?s,412f7eb9
10,11,UPS,05da0d00
11,12,Prudential Financial,fcfcbe02
12,13,Humana,e1ce8d5c
13,14,Disney,0fc1d049
14,15,Cisco Systems,c1663ad6
15,16,Dow Chemical,8ef53952
16,17,Sysco,ae953c7f
17,18,Caterpillar,34e921bd
18,19,Lockheed Martin,6a30858b
19,20,Coca-Cola,5a0d0996
20,21,HCA Holdings,ff1fffad
21,22,Energy Transfer Equity,bc3da71c
22,23,Tyson Foods,5da7bf1d
23,24,Delta Air Lines,3e5f8591
24,25,Nationwide,5c26da60
25,26,Best Buy,b40f55c4
26,27,Merck,b60ef1d3
27,28,Liberty Mutual Insurance Group,7f79fb5d
28,29,Honeywell International,3601e6bd
29,30,Massachusetts Mutual Life Insurance,35e818d4
30,31,Morgan Stanley,f6f659f9
31,32,Cigna,606348e7
32,33,Allstate,9f466788
33,34,TIAA,602193e8
34,35,CHS,20682f6f
35,36,American Express,4cf86d2b
36,37,Gilead Sciences,ef2a3f98
37,38,General Dynamics,64e12fdf
38,39,TJX,a4b4d831
39,40,Nike,f6a5c7a7
40,41,World Fuel Services,d2bf2b7d
41,42,Mondelez International,1dd5260c
42,43,Twenty-First Century Fox,8a428a13
43,44,Deere,8e18eaf6
44,45,Time Warner,2900eb88
45,46,DuPont,0447b906
46,47,Avnet,c76acb09
47,48,Macy?s,5737b213
48,49,Travelers Cos.,7d871f42
49,50,Philip Morris International,e1c20cdf
50,51,Tech Data,e701be7e
51,52,McDonald?s,d90bce9b
52,53,Sears Holdings,6180ae2f
53,54,Capital One Financial,885dde10
54,55,USAA,8601a569
55,56,Duke Energy,92731a03
56,57,Halliburton,dc180626
57,58,Arrow Electronics,441b7a37
58,59,Raytheon,9e0c1cdf
59,60,Plains GP Holdings,1f752875
60,61,US Foods Holding,1c09eb51
61,62,AbbVie,8297c891
62,63,Centene,94514a5b
63,64,Community Health Systems,5d2e6746
64,65,Alcoa,bcb05415
65,66,International Paper,e99ad75c
66,67,Emerson Electric,2599a8b7
67,68,Union Pacific,a3c7600d
68,69,Amgen,6866d055
69,70,U.S. Bancorp,15fde59f
70,71,Staples,e79add4e
71,72,Danaher,c336d8c6
72,73,Whirlpool,e387c20d
73,74,Aflac,8789076d
74,75,AutoNation,642cf88c
75,76,Progressive,1f6af25b
76,77,Abbott Laboratories,3a6270c2
77,78,Dollar General,bbdfb0d0
78,79,Tenet Healthcare,6d17a0c0
79,80,Eli Lilly,c7063c7a
80,81,Southwest Airlines,8b6e1d1b
81,82,Penske Automotive Group,bce61d2b
82,83,ManpowerGroup,98a67063
83,84,Kohl?s,24de65e6
84,85,Starbucks,a5155e03
85,86,Paccar,3ee96e28
86,87,Cummins,b676a9d6
87,88,Altria Group,668f4bb0
88,89,Xerox,83a02519
89,90,Kimberly-Clark,7dbbc15d
90,91,Unum Group,e8bd4ea9
91,92,Reynolds American,083252cc
92,93,Group 1 Automotive,ff6c3755
93,94,Henry Schein,5c436db7
94,95,Norfolk Southern,62768426
95,96,Reinsurance Group of America,a4b327a4
96,97,Public Service Enterprise Group,18131f55
97,98,DTE Energy,2a9c4c1e
98,99,Assurant,1bc12bf9
99,100,Huntsman,44f94ff8
100,101,Becton Dickinson,96cfb0e7
101,102,AutoZone,99ca7882
102,103,Navistar International,b784b7e8
103,104,Discover Financial Services,1f154011
104,105,Liberty Interactive,41f20e1a
105,106,Baxter International,b404d14d
106,107,Stryker,78789a7e
107,108,Western Refining,843798e4
108,109,Universal Health Services,61bd66f8
109,110,Owens & Minor,f0a701f8
110,111,Advance Auto Parts,282b5109
111,112,MasterCard,189922a4
112,113,Eastman Chemical,461c6495
113,114,Sonic Automotive,9c8603b4
114,115,CST Brands,cc07de18
115,116,eBay,d6888ac7
116,117,GameStop,609057d2
117,118,Reliance Steel & Aluminum,6eadd18b
118,119,Celgene,821f1b39
119,120,Genworth Financial,0c304a86
120,121,Priceline Group,8788be05
121,122,MGM Resorts International,383e4e55
122,123,Fidelity National Financial,32728687
123,124,Republic Services,988cebe4
124,125,Peter Kiewit Sons?,265ae32e
125,126,Mosaic,0af1d406
126,127,Core-Mark Holding,de4b8a67
127,128,Cameron International,67777df5
128,129,Xcel Energy,55b4435c
129,130,State Farm Insurance Cos.,bc5e337e
130,131,Johnson & Johnson,20900d80
131,132,Marathon Petroleum,e72e1889
132,133,Aetna,d2867fb4
133,134,AIG,8fba975e
134,135,Intel,7d127a8d
135,136,Pfizer,c885bd03
136,137,FedEx,62ba286f
137,138,New York Life Insurance,e33ef545
138,139,Ingram Micro,01613c04
139,140,American Airlines Group,75b4a5e2
140,141,Johnson Controls,4f005a53
141,142,Goldman Sachs Group,17c784d1
142,143,Oracle,4b8f09d3
143,144,Hartford Financial Services Group,97266a07
144,145,Kraft Heinz,1575f2c3
145,146,Fluor,59f52f14
146,147,AECOM,f77368e5
147,148,Jabil Circuit,b14391a7
148,149,CenturyLink,29531ebc
149,150,General Mills,9d10c9a9
150,151,Southern,b6555c76
151,152,Thermo Fisher Scientific,bd3a8f56
152,153,American Electric Power,e7eb7e37
153,154,NGL Energy Partners,7dd26bbc
154,155,Bristol-Myers Squibb,53412153
155,156,Nucor,f42c245f
156,157,PNC Financial Services Group,2575723f
157,158,Health Net,f416ad6c
158,159,Colgate-Palmolive,99b8340a
159,160,Freeport-McMoRan,4173258d
160,161,Gap,8edd3dba
161,162,Baker Hughes,8e4bc8f4
162,163,Dollar Tree,fb1169b4
163,164,Whole Foods Market,41f551bd
164,165,PPG Industries,b42ac891
165,166,Icahn Enterprises,1c683bb8
166,167,Performance Food Group,894ec1cb
167,168,DISH Network,bbdbae6d
168,169,FirstEnergy,b283c474
169,170,AES,5b949ab5
170,171,CarMax,b3242c1f
171,172,NRG Energy,12e1e3ae
172,173,Western Digital,9df11def
173,174,Office Depot,84ed42d3
174,175,Nordstrom,d5a09b8f
175,176,Aramark,df18bb02
176,177,DaVita HealthCare Partners,a94dc4da
177,178,WellCare Health Plans,93b0266c
178,179,CBS,ab439af9
179,180,Visa,fc967c2c
180,181,Ecolab,57de61b9
181,182,Kellogg,b1c10978
182,183,Textron,e59628d0
183,184,Loews,20c8187a
184,185,Illinois Tool Works,e7a1136d
185,186,Viacom,49c6251a
186,187,Land O?Lakes,0ad484a3
187,188,Devon Energy,b7ed2826
188,189,Yum Brands,734c29d1
189,190,Texas Instruments,1f9076f3
190,191,CDW,c964e75b
191,192,Marsh & McLennan,8b0e44db
192,193,Chesapeake Energy,952fc777
193,194,Occidental Petroleum,8f206aa0
194,195,Guardian Life Ins. Co. of America,69d8995d
195,196,J.C. Penney,537fc18d
196,197,Consolidated Edison,cc409487
197,198,Cognizant Technology Solutions,f1ef7cd3
198,199,Ameriprise Financial,31fd65ac
199,200,Computer Sciences,18bcf94e
200,201,L Brands,7e266e39
201,202,Jacobs Engineering Group,67e38f5d
202,203,Principal Financial,17619665
203,204,Ross Stores,88647f12
204,205,Bed Bath & Beyond,0de3b422
205,206,CSX,64d82e44
206,207,Toys ?R? Us,5885107b
207,208,Las Vegas Sands,27a54c31
208,209,Leucadia National,4f3761c0
209,210,Dominion Resources,68b7a601
210,211,United States Steel,c963040d
211,212,L-3 Communications,ae0b7f69
212,213,Edison International,e2420365
213,214,Entergy,fc59c6e2
214,215,ADP,1f4f4068
215,216,First Data,07680427
216,217,BlackRock,89e12f9b
217,218,WestRock,a8797c9e
218,219,Voya Financial,66af2a46
219,220,Sherwin-Williams,579fb0fb
220,221,Hilton Worldwide Holdings,f18ec00d
221,222,R.R. Donnelley & Sons,a2442ff9
222,223,Stanley Black & Decker,1b7fd478
223,224,Murphy USA,a2f26a7d
224,225,CBRE Group,b6239b71
225,226,D.R. Horton,b0aa9022
226,227,Estee Lauder,e3427514
227,228,Praxair,b33fddf8
228,229,Biogen,d25d285b
229,230,State Street Corp.,05509ac9
230,231,United Continental Holdings,7b9efacc
231,232,INTL FCStone,a9c4f775
232,233,Publix Super Markets,13ac071c
233,234,ConocoPhillips,579ba57b
